,valid ppl,params,status,job_id
0,24.77,--model=LSTM --emsize=704 --nlayers=3 --lr=40 --bptt=96 --dropout=0.45379139563873483,Job succeeded,71
1,25.28,--model=LSTM --emsize=768 --nlayers=3 --lr=40 --bptt=160 --dropout=0.36957589108869854,Job succeeded,18
2,25.96,--model=LSTM --emsize=1024 --nlayers=3 --lr=19 --bptt=196 --dropout=0.5265528168511943,Job succeeded,57
3,26.04,--model=LSTM --emsize=1024 --nlayers=2 --lr=18 --bptt=196 --dropout=0.43511274025102475,Job succeeded,49
4,26.18,--model=LSTM --emsize=768 --nlayers=2 --lr=20 --bptt=160 --dropout=0.5727598852247421,Job succeeded,15
5,26.76,--model=LSTM --emsize=576 --nlayers=3 --lr=40 --bptt=48 --dropout=0.5655988513572447,Job succeeded,76
6,27.32,--model=GRU --emsize=640 --nlayers=1 --lr=30 --bptt=32 --dropout=0.4349243072860983,Job succeeded,77
7,27.49,--model=LSTM --emsize=768 --nlayers=3 --lr=18 --bptt=256 --dropout=0.5553389903116036,Job succeeded,26
8,27.85,--model=GRU --emsize=576 --nlayers=1 --lr=30 --bptt=48 --dropout=0.38228219532665625,Job succeeded,25
9,27.91,--model=GRU --emsize=576 --nlayers=1 --lr=30 --bptt=48 --dropout=0.2916823909994896,Job succeeded,35
10,28.07,--model=LSTM --emsize=448 --nlayers=1 --lr=22 --bptt=128 --dropout=0.5421746336996519,Job succeeded,30
11,28.37,--model=GRU --emsize=576 --nlayers=1 --lr=19 --bptt=48 --dropout=0.2655524242007307,Job succeeded,23
12,28.46,--model=LSTM --emsize=640 --nlayers=1 --lr=5 --bptt=48 --dropout=0.5914236629666401,Job succeeded,72
13,28.75,--model=GRU --emsize=768 --nlayers=3 --lr=10 --bptt=48 --dropout=0.5034916792806506,Job succeeded,29
14,28.88,--model=GRU --emsize=320 --nlayers=3 --lr=19 --bptt=96 --dropout=0.2783744571074265,Job succeeded,17
15,28.91,--model=GRU --emsize=640 --nlayers=2 --lr=22 --bptt=128 --dropout=0.5646136596411155,Job succeeded,53
16,29.15,--model=LSTM --emsize=512 --nlayers=2 --lr=5 --bptt=32 --dropout=0.12409143426629453,Job succeeded,56
17,29.69,--model=GRU --emsize=768 --nlayers=3 --lr=25 --bptt=160 --dropout=0.405053530252964,Job succeeded,65
18,29.7,--model=LSTM --emsize=320 --nlayers=3 --lr=18 --bptt=256 --dropout=0.23072477157062002,Job succeeded,19
19,29.74,--model=LSTM --emsize=704 --nlayers=3 --lr=20 --bptt=64 --dropout=0.09968534297880054,Job succeeded,33
20,29.8,--model=GRU --emsize=512 --nlayers=2 --lr=12 --bptt=128 --dropout=0.4834832040825197,Job succeeded,8
21,30.08,--model=LSTM --emsize=640 --nlayers=2 --lr=19 --bptt=160 --dropout=0.7080522142753951,Job succeeded,32
22,30.45,--model=LSTM --emsize=196 --nlayers=3 --lr=25 --bptt=128 --dropout=0.2678267146292457,Job succeeded,60
23,30.89,--model=GRU --emsize=224 --nlayers=2 --lr=18 --bptt=128 --dropout=0.08616817496322716,Job succeeded,64
24,31.01,--model=GRU --emsize=448 --nlayers=1 --lr=15 --bptt=32 --dropout=0.10875411356009816,Job succeeded,73
25,31.14,--model=LSTM --emsize=704 --nlayers=3 --lr=12 --bptt=96 --dropout=0.7463721930738447,Job succeeded,84
26,31.45,--model=LSTM --emsize=256 --nlayers=3 --lr=30 --bptt=256 --dropout=0.045991516045160545,Job succeeded,75
27,31.53,--model=GRU --emsize=256 --nlayers=2 --lr=10 --bptt=256 --dropout=0.17133305758245204,Job succeeded,62
28,31.72,--model=GRU --emsize=160 --nlayers=2 --lr=15 --bptt=160 --dropout=0.14440687207447464,Job succeeded,22
