,valid ppl,params,status,job_id
0,31.06,--model=LSTM --emsize=512 --nlayers=3 --lr=19 --nhid=1024 --bptt=32 --clip=0.19351900496152954 --dropout=0.28496137879358824 --dropouth=0.45556793390110484 --dropoute=0.00017032011181926656 --dropouti=0.49212967341104363 --wdrop=0.7151802365616606,Job succeeded,248
1,36.52,--model=LSTM --emsize=160 --nlayers=2 --lr=15 --nhid=768 --bptt=16 --clip=1.657776391522991 --dropout=0.042083327286876415 --dropouth=0.322976495541595 --dropoute=0.11822110888393608 --dropouti=0.406621067111356 --wdrop=0.6794571631979135,Job succeeded,213
2,37.54,--model=LSTM --emsize=512 --nlayers=2 --lr=20 --nhid=1280 --bptt=32 --clip=1.7537009731706508 --dropout=0.12934872348056653 --dropouth=0.3429225885647771 --dropoute=0.2128976584300919 --dropouti=0.6712520581699987 --wdrop=0.14325121990859885,Job succeeded,344
3,38.78,--model=LSTM --emsize=384 --nlayers=3 --lr=30 --nhid=256 --bptt=64 --clip=1.0045822466550123 --dropout=0.3628396824008517 --dropouth=0.1323557233257003 --dropoute=0.02873813961475438 --dropouti=0.05991761786545964 --wdrop=0.30077793276360437,Job succeeded,363
4,40.08,--model=LSTM --emsize=128 --nlayers=2 --lr=12 --nhid=768 --bptt=32 --clip=0.9578227980397511 --dropout=0.24574537401382363 --dropouth=0.5706086782033621 --dropoute=0.04395748671341417 --dropouti=0.19230486563208796 --wdrop=0.08934316073324579,Job succeeded,159
5,40.18,--model=LSTM --emsize=384 --nlayers=2 --lr=25 --nhid=704 --bptt=64 --clip=1.2624625102757883 --dropout=0.44895151048068127 --dropouth=0.6195626809728181 --dropoute=0.06324103667355753 --dropouti=0.2011044725803359 --wdrop=0.31154866033714423,Job succeeded,354
6,41.01,--model=LSTM --emsize=576 --nlayers=1 --lr=5 --nhid=512 --bptt=32 --clip=1.125132221932213 --dropout=0.08003346364777611 --dropouth=0.7084783835212907 --dropoute=0.17896301797886616 --dropouti=0.7394200448580711 --wdrop=0.5378323565092497,Job succeeded,292
7,41.15,--model=LSTM --emsize=448 --nlayers=3 --lr=20 --nhid=704 --bptt=16 --clip=1.5704453897360209 --dropout=0.22192400465837223 --dropouth=0.6888073606341972 --dropoute=0.10893605949103413 --dropouti=0.6600844171636393 --wdrop=0.4669360479033739,Job succeeded,365
8,41.17,--model=LSTM --emsize=256 --nlayers=3 --lr=20 --nhid=512 --bptt=96 --clip=0.7518052308319036 --dropout=0.47215534990909935 --dropouth=0.19138462069656945 --dropoute=0.09844020411151051 --dropouti=0.2695021740268639 --wdrop=0.03219996286509267,Job succeeded,143
9,44.54,--model=LSTM --emsize=512 --nlayers=3 --lr=12 --nhid=384 --bptt=48 --clip=1.261437792278326 --dropout=0.09739302429911888 --dropouth=0.42608339811652285 --dropoute=0.36841941510906306 --dropouti=0.5469368059112849 --wdrop=0.5788107522516772,Job succeeded,160
10,45.18,--model=LSTM --emsize=448 --nlayers=2 --lr=25 --nhid=224 --bptt=48 --clip=1.8404285699015897 --dropout=0.5235260784435222 --dropouth=0.2883272286251664 --dropoute=0.23638834588996793 --dropouti=0.7863692218143418 --wdrop=0.14029286223395077,Job succeeded,162
11,45.39,--model=LSTM --emsize=384 --nlayers=1 --lr=40 --nhid=448 --bptt=16 --clip=1.2915906571105635 --dropout=0.45057120620169955 --dropouth=0.34688217888834366 --dropoute=0.2220169517844555 --dropouti=0.21429712443906798 --wdrop=0.30798353532546946,Job succeeded,285
12,46.67,--model=GRU --emsize=320 --nlayers=1 --lr=19 --nhid=576 --bptt=64 --clip=0.3450296832781331 --dropout=0.07415403371428475 --dropouth=0.3095486361102921 --dropoute=0.19969464901120587 --dropouti=0.6411271519876423 --wdrop=0.4606031496147817,Job succeeded,169
13,46.88,--model=LSTM --emsize=448 --nlayers=3 --lr=18 --nhid=224 --bptt=128 --clip=1.7615469490311917 --dropout=0.10454141184155767 --dropouth=0.05522364221983548 --dropoute=0.150606931932784 --dropouti=0.548156931770046 --wdrop=0.46725567238558235,Job succeeded,256
14,48.9,--model=GRU --emsize=224 --nlayers=1 --lr=18 --nhid=704 --bptt=32 --clip=0.6101006872361046 --dropout=0.12488916697684398 --dropouth=0.1425519395125255 --dropoute=0.13327854505815953 --dropouti=0.35817876604970567 --wdrop=0.22439074304807388,Job succeeded,263
15,50.3,--model=LSTM --emsize=320 --nlayers=2 --lr=25 --nhid=640 --bptt=128 --clip=1.0954847223264983 --dropout=0.691420907885064 --dropouth=0.25110579241232195 --dropoute=0.10432208967793226 --dropouti=0.28023246873114516 --wdrop=0.5092657836098292,Job succeeded,125
16,50.89,--model=LSTM --emsize=384 --nlayers=1 --lr=20 --nhid=384 --bptt=48 --clip=1.232280508759897 --dropout=0.4631425646349313 --dropouth=0.09927629202618024 --dropoute=0.3518775870223714 --dropouti=0.7658354926394023 --wdrop=0.07223089503881235,Job succeeded,251
17,51.26,--model=LSTM --emsize=448 --nlayers=3 --lr=15 --nhid=384 --bptt=16 --clip=0.472410529373542 --dropout=0.11182596749479945 --dropouth=0.6640394361176513 --dropoute=0.5421297722415599 --dropouti=0.7175537012130592 --wdrop=0.6282938588395279,Job succeeded,242
18,55.13,--model=LSTM --emsize=512 --nlayers=1 --lr=10 --nhid=896 --bptt=64 --clip=0.5879880037568276 --dropout=0.7902156386822897 --dropouth=0.3368505319717001 --dropoute=0.19410991083605295 --dropouti=0.41617356377231085 --wdrop=0.07545129264594447,Job succeeded,286
19,58.02,--model=LSTM --emsize=128 --nlayers=3 --lr=12 --nhid=576 --bptt=48 --clip=1.7031581478905815 --dropout=0.23181531202460173 --dropouth=0.0654205273732356 --dropoute=0.5864175445975843 --dropouti=0.45622546130659225 --wdrop=0.2573442095135107,Job succeeded,336
20,58.27,--model=LSTM --emsize=448 --nlayers=2 --lr=18 --nhid=448 --bptt=128 --clip=1.350610414743194 --dropout=0.5917819449106685 --dropouth=0.8689333872909447 --dropoute=0.08395652568139197 --dropouti=0.1881825508414144 --wdrop=0.32693487688764256,Job succeeded,167
21,58.81,--model=GRU --emsize=160 --nlayers=2 --lr=5 --nhid=320 --bptt=32 --clip=1.4313177734393723 --dropout=0.0903985997263131 --dropouth=0.5465309325189477 --dropoute=0.4297702548629669 --dropouti=0.2600043306513716 --wdrop=0.12488149779390377,Job succeeded,332
22,59.18,--model=LSTM --emsize=320 --nlayers=1 --lr=12 --nhid=640 --bptt=64 --clip=1.0832570510555097 --dropout=0.653169445603953 --dropouth=0.8352028635827647 --dropoute=0.2351518854246056 --dropouti=0.5860252019202452 --wdrop=0.6232612553356668,Job succeeded,156
23,61.6,--model=LSTM --emsize=512 --nlayers=2 --lr=19 --nhid=384 --bptt=196 --clip=1.853248666192159 --dropout=0.45094426635575785 --dropouth=0.085775345441484 --dropoute=0.4084807357267211 --dropouti=0.7370582337843194 --wdrop=0.1542199345668007,Job succeeded,259
24,62.58,--model=LSTM --emsize=224 --nlayers=1 --lr=18 --nhid=576 --bptt=196 --clip=1.826013130103141 --dropout=0.46887664286055164 --dropouth=0.6377869967366279 --dropoute=0.0794488552816413 --dropouti=0.4476230620543997 --wdrop=0.26918878725184425,Job succeeded,288
25,63.32,--model=LSTM --emsize=224 --nlayers=3 --lr=10 --nhid=256 --bptt=128 --clip=1.795059211942634 --dropout=0.41259589373833433 --dropouth=0.13668461610388719 --dropoute=0.2647772899636724 --dropouti=0.03353671921309536 --wdrop=0.4604306826582828,Job succeeded,148
