,valid ppl,params,status,job_id
0,inf,--model=GRU --emsize=160 --nlayers=1 --lr=19 --nhid=320 --bptt=96 --clip=1.6245613843863032 --dropout=0.4354562089314917,Job failed,9
1,inf,--model=GRU --emsize=160 --nlayers=1 --lr=22 --nhid=768 --bptt=64 --clip=0.6282399590307941 --dropout=0.1836162538275018,Job failed,2
2,inf,--model=GRU --emsize=196 --nlayers=1 --lr=30 --nhid=896 --bptt=320 --clip=0.13358061199778584 --dropout=0.5253448855777876,Job failed,5
3,inf,--model=GRU --emsize=196 --nlayers=2 --lr=22 --nhid=196 --bptt=96 --clip=0.2810209021395532 --dropout=0.8621344483816168,Job failed,8
4,inf,--model=GRU --emsize=224 --nlayers=1 --lr=20 --nhid=1024 --bptt=96 --clip=0.38086519897901805 --dropout=0.27524554667458473,Job failed,11
5,inf,--model=GRU --emsize=320 --nlayers=2 --lr=10 --nhid=256 --bptt=64 --clip=1.7385192205652487 --dropout=0.34755509586488,Job failed,10
6,inf,--model=LSTM --emsize=1024 --nlayers=2 --lr=19 --nhid=768 --bptt=96 --clip=0.17983424868076275 --dropout=0.4916160844310436,Job failed,3
7,inf,--model=LSTM --emsize=128 --nlayers=2 --lr=18 --nhid=224 --bptt=160 --clip=1.0961454694271648 --dropout=0.06127984551942125,Job failed,7
8,inf,--model=LSTM --emsize=160 --nlayers=2 --lr=5 --nhid=224 --bptt=64 --clip=1.436545742647342 --dropout=0.09726906498344827,Job failed,6
9,inf,--model=LSTM --emsize=224 --nlayers=3 --lr=12 --nhid=768 --bptt=96 --clip=1.868590579583076 --dropout=0.741728140257228,Job failed,4
10,inf,--model=LSTM --emsize=576 --nlayers=2 --lr=12 --nhid=224 --bptt=320 --clip=1.2853634517987906 --dropout=0.11193671753783775,Job failed,1
